Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
1,09810620000,ＵＰ－ＴＡ１,09810620000 -00,,0,Z0330,0.51,0
1,09811880000,ＵＰ－ＴＡ２,09811880000 -00,,0,Z0330,0.5,0
1,09826180000,ＵＨＢ－ＤＫ３,09826180000 -00,,0,Z0330,1.41,0
1,09827340000,ＵＰ－Ｋ１－Ｗ,09827340000 -00,,0,Z0330,1.94,0
1,09827350000,ＵＰ－Ｋ２－Ｗ,09827350000 -00,,0,Z0330,2.43,0
1,09827360000,ＵＰ－Ｋ３－Ｗ,09827360000 -00,,0,Z0330,2,0
1,09827370000,ＵＰ－ＷＫ１－Ｗ,09827370000 -00,,0,Z0330,1.5,0
1,09827880000,ＵＨＢ－ＤＫ５,09827880000 -00,,0,Z0330,1.5,0
1,101A00143A,外筒ベースかしめ組,101A00143A -00,,0,Z0510,0,0
1,101A00274Z,触媒組,101A00274Z -03,,0,Z0520,0,0
1,101A02196Y,触媒組,101A02196Y -01,,0,Z0520,0,0
1,101A03985,上面遮熱板溶接組,101A03985 -00,,5238,Z0040,0.14,0
1,101A04149,上面遮熱板溶接組,101A04149 -00,,0,Z0040,0.14,0
1,101A04814Y,燃焼筒組,101A04814Y -01,,0,Z0520,0,0
1,101A04821W,燃焼筒組,101A04821W -01,,0,Z0520,0,0
1,101A04823Y,燃焼筒組,101A04823Y -01,,0,Z0520,0,0
1,101A04824U,燃焼筒組,101A04824U -02,,0,Z0520,0,0
1,101A04826W,燃焼筒組,101A04826W -02,,0,Z0520,0,0
1,101A04830T,燃焼筒組,101A04830T -03,,0,Z0520,0,0
1,101A04956T,燃焼筒組,101A04956T -03,,0,Z0520,0,0
1,101A06365Y,燃焼筒組,101A06365Y -02,,0,Z0520,0,0
1,101A06442U,燃焼筒完,101A06442U -07,,0,Z0520,0,0
1,101A06442W,燃焼筒完,101A06442W -07,,0,Z0520,0,0
1,101A06603Y,燃焼筒組,101A06603Y -02,,0,Z0520,0,0
1,101A06616Y,燃焼筒組,101A06616Y -02,,0,Z0520,0,0
1,101A06708U,燃焼筒完,101A06708U -01,,0,Z0520,0,0
1,101A06708V,燃焼筒完,101A06708V -01,,0,Z0520,0,0
1,101A06877,ガード塗装完,101A06877 -00,,4729,Z0530,0,0
1,101A06878,ガード塗装完,101A06878 -00,,6556,Z0530,0,0
1,101A06879,ガード塗装組,101A06879 -00,,827,Z0102,0,0
1,101A06880,ガード塗装組,101A06880 -00,,8057,Z0102,0,0
1,101A06880W,ガード塗装組,101A06880W -00,,15924,Z0102,0,0
1,101A06880Y,ガード塗装組,101A06880Y -00,,0,Z0530,0,0
1,101A06891,ガード組,101A06891 -00,,0,Z0530,0,0
1,101A06891A,ガード組,101A06891A -00,,3738,Z0530,0,0
1,101A06893,ガード組,101A06893 -00,,0,Z0530,0,0
1,101A06893A,ガード組,101A06893A -00,,1520,Z0102,0,0
1,101A06976,ガード完,101A06976 -01,,0,Z0530,0,0
1,101A07712,しん案内キャップ組,101A07712 -00,,0,Z0520,0,0
1,101A07713,しん案内キャップ組,101A07713 -00,,0,Z0520,0,0
1,101A07714,しん案内キャップ組,101A07714 -00,,0,Z0520,0,0
1,101A07715,しん案内キャップ組,101A07715 -00,,0,Z0520,0,0
1,101A07934,芯案内キャップ組,101A07934,,7515,Z0210,0.6,20
1,101A08241,燃焼筒完,101A08241 -01,,0,Z0520,0,0
1,101A08249,燃焼筒組,101A08249 -01,,0,Z0520,0,0
1,101A08287A,燃焼筒組,101A08287A -00,,0,Z0520,0,0
1,101A08302A,燃焼筒組,101A08302A -00,,0,Z0520,0,0
1,101A08323,燃焼筒組,101A08323 -01,,0,Z0520,0,0
1,101A08323A,燃焼筒組,101A08323A -01,,0,Z0520,0,0
1,101A08326,燃焼筒組,101A08326 -02,,0,Z0520,0,0
1,101A08326A,燃焼筒組,101A08326A -02,,0,Z0520,0,0
1,101A08329,燃焼筒完,101A08329 -02,,0,Z0520,0,0
1,101A08329A,燃焼筒完,101A08329A -02,,0,Z0520,0,0
1,101A08424,燃焼筒組,101A08424 -00,,0,Z0520,0,0
1,101A08432,燃焼筒組,101A08432 -00,,0,Z0520,0,0
1,101A08486,ガード組,101A08486 -00,,0,Z0530,0,0
1,101A08621,燃焼筒組,101A08621 -00,,0,Z0520,0,0
1,101A08621Y,燃焼筒組,101A08621Y -01,,0,Z0520,0,0
1,101A08623,燃焼筒組,101A08623 -00,,0,Z0520,0,0
1,101A08625,燃焼筒完,101A08625 -01,,0,Z0520,0,0
1,101A08625Y,燃焼筒完,101A08625Y -02,,0,Z0520,0,0
1,101A08626,燃焼筒組,101A08626 -00,,0,Z0520,0,0
1,101A08626Y,燃焼筒組,101A08626Y -01,,0,Z0520,0,0
1,101A08628,燃焼筒組,101A08628 -00,,0,Z0520,0.63,0
1,101A08628V,燃焼筒組,101A08628V -01,,0,Z0520,0.63,0
1,101A08628Y,燃焼筒組,101A08628Y -01,,0,Z0102,0.61,0
1,101A08629,燃焼筒組,101A08629 -00,,0,Z0520,0.67,0
1,101A08629Y,燃焼筒組,101A08629Y -01,,0,Z0520,0.67,0
1,101A08631,燃焼筒組,101A08631 -00,,0,Z0520,0.67,0
1,101A08634,燃焼筒組,101A08634 -00,,0,Z0520,0.7,0
1,101A08634Y,燃焼筒組,101A08634Y -01,,0,Z0520,0.7,0
1,101A08635,燃焼筒組,101A08635 -00,,0,Z0520,0.67,0
1,101A08635Y,燃焼筒組,101A08635Y -01,,0,Z0520,0.67,0
1,101A08636,燃焼筒組,101A08636 -00,,0,Z0520,0,0
1,101A08636Y,燃焼筒組,101A08636Y -01,,0,Z0520,0,0
1,101A08638,燃焼筒完,101A08638 -01,,0,Z0520,1.15,0
1,101A08638Y,燃焼筒完,101A08638Y -02,,0,Z0520,1.15,0
1,101A08639,燃焼筒組,101A08639 -00,,0,Z0520,0.67,0
1,101A08639Y,燃焼筒組,101A08639Y -01,,0,Z0520,0.67,0
1,101A08640,燃焼筒組,101A08640 -00,,0,Z0520,0.7,0
1,101A08640Y,燃焼筒組,101A08640Y -01,,0,Z0520,0,0
1,101A08787,ガード塗装完,101A08787 -00,,591,Z0102,0,0
1,101A08811,しん案内キャップ組,101A08811 -00,,8682,Z0102,0.15,0
1,101A08813,燃焼筒組,101A08813 -00,,0,Z0520,0,0
1,101A08813Y,燃焼筒組,101A08813Y -01,,0,Z0520,0,0
1,101A08872,しん案内キャップ組,101A08872 -00,,13568,Z0102,0.15,0
1,101A08890,しん案内キャップ組,101A08890 -00,,13569,Z0102,0.15,0
1,101A09169,ガード塗装完,101A09169 -00,,1096,Z0102,0,0
1,101A09221,ガード組,101A09221 -00,,0,Z0530,0,0
1,101A09221A,ガード組,101A09221A -00,,0,Z0530,0,0
1,101A09274,燃焼筒組,101A09274 -00,,0,Z0520,0,0
1,101A09274A,燃焼筒組,101A09274 -02,,0,Z0520,0,0
1,101A09339,しん案内キャップ組,101A09339 -00,,13570,Z0102,0.15,0
1,101A09341,燃焼筒組,101A09341 -02,,0,Z0520,0.7,0
1,101A09385,燃焼筒組,101A09385 -00,,0,Z0102,0.62,0
1,101A09386,燃焼筒組,101A09386 -00,,0,Z0520,0.69,0
1,101A09387,燃焼筒完,101A09387 -00,,0,Z0102,1.15,0
1,101A09388,燃焼筒組,101A09388 -00,,0,Z0520,0,0
1,101A09389,燃焼筒組,101A09389 -00,,0,Z0520,0.7,0
1,101A09477,燃焼筒組,101A09477 -00,,0,Z0102,0.66,0
1,101A09488,燃焼筒組,101A09488 -00,,0,Z0520,0.7,0
1,101A09545,燃焼筒組,101A09545 -00,,0,Z0102,0.67,0
1,101A09546,燃焼筒組,101A09546 -00,,0,Z0520,0.7,0
1,101A09582,燃焼筒組,101A09582 -00,,0,Z0102,0.63,0
1,101A09583,燃焼筒組,101A09583 -00,,0,Z0102,0.64,0
1,101A09584,燃焼筒組,101A09584 -00,,0,Z0520,0.7,0
1,101A09679,燃焼筒組,101A09679 -00,,0,Z0520,0.67,0
1,101A09694,燃焼筒組,101A09694 -00,,0,Z0102,0.67,0
1,101A09701,燃焼筒組,101A09701 -00,,0,Z0520,0,0
1,101A09705,燃焼筒組,101A09705 -00,,0,Z0520,0.73,0
1,101A09710,燃焼筒完,101A09710 -00,,0,Z0102,0,0
1,101A09722,燃焼筒完,101A09722 -00,,0,Z0102,1.15,0
1,101A09748,燃焼筒組,101A09748 -00,,0,Z0102,0,0
1,101A09927,燃焼筒完,101A09927 -00,,0,Z0102,1.15,0
1,101A10082,燃焼筒組,101A10082 -00,,0,Z0102,0.64,0
1,101B00339B,展示用内筒カバー,101B00339B -00,,0,Z0040,0,0
1,101B00340B,火皿,101B00340B -00,,0,Z0040,0,0
1,101B00341,展示用中筒リング,101B00341 -00,,0,Z0040,0,0
1,101B00628,火皿,101B00628 -01,,10682,Z0030,0,0
1,101C00152,燃焼筒ガイドリング,101C00152 -00,,0,80100,,
1,101C01239,電極カバー,101C01239 -02,,0,Z0102,0,0
1,101C01298,火皿脚,101C01298 -02,,0,Z0102,0,0
1,101C01352,消火金具,101C01352 -00,,0,Z0040,0.04,0
1,101C01463,遮熱板下,101C01463 -00,,0,Z0040,0,0
1,101C01475,消火金具,101C01475 -01,,6995,Z0040,0.04,0
1,101E00181,アルミパイプ,101E00181 -01,,1514,Z0030,0,0
1,101E00182,アルミパイプ,101E00182 -00,,3737,Z0030,0,0
1,101E00204V,燃焼筒ロッド,101E00204V -00,,0,Z0520,0,0
1,102A10212,外筒組,102A10212 -01,,0,Z0102,0.66,0
1,102A10225,外筒組,102A10225 -04,,0,Z0520,0.98,0
1,102A10298Y,外筒底板組,102A10298Y -00,,0,Z0511,0,0
1,102A10299,外筒組,102A10299 -01,,0,Z0520,0,0
1,102A10301Y,外筒底板組,102A10301Y -00,,0,Z0511,0,0
1,102A10302,外筒組,102A10302 -01,,0,Z0520,0,0
1,102A10310A,外筒本体組,102A10310A -00,,0,Z0102,0,0
1,102A10314Y,外筒底板組,102A10314Y -02,,0,Z0511,0,0
1,102A10315,外筒組,102A10315 -00,,0,Z0520,0,0
1,102A10316Y,外筒底板組,102A10316Y -00,,0,Z0511,0,0
1,102A10317,外筒組,102A10317 -01,,0,Z0520,0,0
1,102A10425A,外筒セット,102A10425A -00,,0,Z0520,0,0
1,102A10429A,外筒スポット組,102A10429A -00,,0,Z0520,0,0
1,102A10754Y,外筒底板組,102A10754Y -04,,0,Z0101,0,0
1,102A10755,外筒組,102A10755 -02,,0,Z0520,0,0
1,102A11010,外筒組,102A11010 -05,,0,Z0102,0.67,0
1,102A11384,外筒組,102A11384 -02,,0,Z0520,0,0
1,102A11422,外筒組,102A11422 -02,,0,Z0520,0,0
1,102A11468,外筒組,102A11468 -01,,0,Z0520,0,0
1,102A11567,外筒組,102A11567 -00,,0,Z0520,0,0
1,102A11586,外筒組,102A11586 -00,,0,Z0520,0,0
1,102A11588,外筒組,102A11588 -00,,0,Z0520,0,0
1,102A11599,外筒組,102A11599 -00,,0,Z0520,0,0
1,102A11600,外筒組,102A11600 -02,,0,Z0520,0,0
1,102A11601,外筒組,102A11601 -02,,0,Z0520,0,0
1,102A11907,外筒組,102A11907 -00,,0,Z0520,0,0
1,102A11908,外筒底板組,102A11908 -00,,0,80100,,
1,102A11908A,外筒底板組,102A11908A -00,,0,Z0511,0,0
1,102A12252,外筒組,102A12252 -04,,0,Z0520,0,0
1,102A12253,外筒底板組,102A12253 -02,,0,Z0511,0,0
1,102A12253Y,外筒底板組,102A12253Y -04,,0,Z0511,0,0
1,102A12269,外筒組,102A12269 -03,,0,Z0520,0,0
1,102A12269A,外筒組,102A12269A -03,,0,Z0520,0,0
